ID SELECT_PREPARE_BAHAN_BY_CABANG,DIVISI,NAMA BAHAN,SATUAN BAHAN,SATUAN PREPARE,SIBOLANGIT,REST AREA,BASKET,CADIKA,HARVEST MOON
20260260,DAPUR,UBI GORENG,BUNGKUS,KILOGRAM BAHAN MENTAH,TRUE,TRUE,TRUE,TRUE,FALSE
20260264,HARVESTMOON STRAWBERRY,ADONAN PANCAKE,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260265,HARVESTMOON STRAWBERRY,ADONAN WAFFLE,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260269,HARVESTMOON STRAWBERRY,COKLAT CAIR,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260287,HARVESTMOON STRAWBERRY,SELAI STRAWBERRY,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260296,HARVESTMOON STRAWBERRY,TOPPING CREAM,GRAM,RESEP,FALSE,FALSE,FALSE,FALSE,TRUE
20260311,MAK ACIK,ADONAN BAKWAN,GRAM,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20260316,MAK ACIK,RISOL ISI,PCS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",TRUE,TRUE,FALSE,FALSE,FALSE
20260317,MAK ACIK,TAHU ISI,PCS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",TRUE,TRUE,FALSE,FALSE,FALSE
20260320,NASI OLENGG,ACAR,GRAM,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM",FALSE,TRUE,FALSE,FALSE,FALSE
20260323,NASI OLENGG,BASIS,BUNGKUS,BUNGKUS BAHAN MENTAH,FALSE,TRUE,FALSE,FALSE,FALSE
20260330,NASI OLENGG,CHICKEN KARAAGE OLENG,BUNGKUS,BUNGKUS BAHAN MENTAH,FALSE,TRUE,FALSE,FALSE,FALSE
20260342,ODENG GO,BIANG TOM YAM,GRAM,RESEP,TRUE,TRUE,FALSE,FALSE,FALSE
20260350,ODENG GO,SATE BAKSO AYAM,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260351,ODENG GO,SATE BAKSO IKAN,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260352,ODENG GO,SATE BAKSO UDANG,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260353,ODENG GO,SATE CIKUA,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260354,ODENG GO,SATE DUMPLING CHEESE,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260355,ODENG GO,SATE DUMPLING CHICKEN,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260356,ODENG GO,SATE ODENG,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260357,ODENG GO,SATE OTAK - OTAK,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260358,ODENG GO,SATE SOSIS GO,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260359,ODENG GO,SATE TAHU TOFU,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
20260360,ODENG GO,SATE TWISTER,TUSUK,BUNGKUS BAHAN MENTAH,TRUE,TRUE,FALSE,FALSE,FALSE
